Topic,Sub-topic,Question,Explanation,Image
Genetics,Introduction,"Define genetics, heredity and variation.","SHORT ANSWER: Genetics is the branch of biology dealing with inheritance and variation. Heredity is the transmission of characters from parents to offspring; variation is the differences among individuals of a species.

LONG ANSWER: Genetics (term coined by Bateson) studies how traits are passed across generations and why offspring differ from parents and from one another. Heredity ensures continuity of characters through genes carried on chromosomes, while variation (due to recombination, mutation and environment) provides the raw material for evolution.

NEET FOCUS: Father of genetics = Gregor Mendel; the term 'genetics' was coined by W. Bateson.",
Genetics,Mendel,Why did Mendel choose the garden pea (Pisum sativum) for his experiments?,"SHORT ANSWER: Because the pea plant has clear contrasting traits, is normally self-pollinating, has a short life cycle, produces many offspring, and can be easily cross-pollinated.

LONG ANSWER: Mendel selected seven pairs of clear-cut contrasting characters (e.g. tall/dwarf, round/wrinkled seeds). The flowers are bisexual and self-fertilising, so pure lines are easily maintained, yet artificial cross-pollination is simple. A short generation time and large numbers of offspring allowed reliable statistical analysis.

NEET FOCUS: Mendel studied 7 pairs of contrasting traits in pea. Self-pollination keeps lines pure; emasculation allows controlled crosses.",
Genetics,Mendel Terms,"Define the terms allele, homozygous, heterozygous, genotype and phenotype.","SHORT ANSWER: Alleles are alternative forms of a gene. Homozygous = both alleles identical (TT or tt); heterozygous = two different alleles (Tt). Genotype = genetic make-up; phenotype = observable trait.

LONG ANSWER: A gene may exist in different versions (alleles) occupying the same locus on homologous chromosomes. An organism with identical alleles is homozygous (pure/true-breeding); with different alleles it is heterozygous (hybrid). The genotype (e.g. Tt) determines the phenotype (e.g. tall), though dominance can mask a recessive allele.

NEET FOCUS: Same allele on both chromosomes -> homozygous; dominant allele masks recessive in heterozygote so phenotype follows the dominant.",
Genetics,Law of Dominance,State Mendel's Law of Dominance.,"SHORT ANSWER: In a heterozygote, one allele (the dominant) expresses itself and masks the effect of the other (the recessive); characters are controlled by discrete units called factors (genes) occurring in pairs.

LONG ANSWER: When two pure-breeding parents differing in one trait are crossed, the F1 resembles only one parent (the dominant trait). The recessive trait reappears in the F2. This law explains the 3:1 phenotypic ratio of the monohybrid cross and the existence of carriers.

NEET FOCUS: Law of Dominance explains why F1 shows only the dominant trait and why a 3:1 (not 1:1) F2 phenotypic ratio appears.",
Genetics,Law of Segregation,State and explain Mendel's Law of Segregation.,"SHORT ANSWER: The two alleles of a gene separate (segregate) during gamete formation so that each gamete carries only one allele; they reunite randomly at fertilisation. It is the 'law of purity of gametes'.

LONG ANSWER: During meiosis the paired alleles of a heterozygote separate into different gametes, so a gamete is always pure for a character (carries one allele only). At fertilisation, random fusion of gametes restores the diploid condition. This explains the reappearance of the recessive trait in F2 in a 3:1 ratio (genotypic 1:2:1).

NEET FOCUS: This is the only Mendel law with NO exceptions - alleles always segregate cleanly. Genotypic ratio 1:2:1, phenotypic 3:1.",
Genetics,Law of Independent Assortment,State Mendel's Law of Independent Assortment.,"SHORT ANSWER: When two pairs of contrasting traits are considered together, the alleles of one gene assort independently of the alleles of another, giving new combinations. Demonstrated by the dihybrid cross (9:3:3:1).

LONG ANSWER: In a dihybrid cross (e.g. round yellow x wrinkled green), each gene pair segregates independently during gamete formation, producing four gamete types in equal proportion. The F2 shows a 9:3:3:1 phenotypic ratio. This law holds only for genes on different chromosomes (or far apart on the same chromosome).

NEET FOCUS: Independent assortment gives 9:3:3:1 in F2. It FAILS for linked genes (genes close together on the same chromosome).",
Genetics,Monohybrid Cross,Describe a monohybrid cross and its F2 ratios.,"SHORT ANSWER: A cross involving a single pair of contrasting traits (e.g. Tall TT x dwarf tt). F1 all tall (Tt); F2 phenotypic ratio 3 tall : 1 dwarf; genotypic ratio 1 TT : 2 Tt : 1 tt.

LONG ANSWER: Crossing homozygous tall (TT) with dwarf (tt) gives all tall F1 (Tt). Self-pollinating F1 yields F2 with three genotypes - TT, Tt, tt in 1:2:1 - and two phenotypes (tall:dwarf) in 3:1, because Tt also appears tall. A test cross confirms the genotype.

NEET FOCUS: Monohybrid F2: phenotypic 3:1, genotypic 1:2:1. Out of 3 talls, 1 is pure (TT) and 2 are hybrids (Tt).",monohybrid_cross.png
Genetics,Dihybrid Cross,Describe a dihybrid cross and explain the 9:3:3:1 ratio.,"SHORT ANSWER: A cross involving two pairs of traits (e.g. RRYY round-yellow x rryy wrinkled-green). F1 all round-yellow (RrYy); F2 phenotypic ratio 9 round-yellow : 3 round-green : 3 wrinkled-yellow : 1 wrinkled-green.

LONG ANSWER: The F1 dihybrid (RrYy) produces four gamete types (RY, Ry, rY, ry) in equal numbers because the two genes assort independently. Random fusion gives 16 combinations in the F2 that group into the 9:3:3:1 phenotypic ratio. The two new (recombinant) phenotypes confirm independent assortment.

NEET FOCUS: 9:3:3:1 = parental (9 + 1 = 10) and recombinant (3 + 3 = 6) types. A 9:3:3:1 ratio is the hallmark of independent assortment.",dihybrid_cross.png
Genetics,Test Cross,What is a test cross and why is it useful?,"SHORT ANSWER: A test cross is a cross of an individual showing the dominant phenotype with the homozygous recessive parent, to determine whether the dominant individual is homozygous or heterozygous.

LONG ANSWER: If the dominant individual is homozygous (TT), all offspring show the dominant trait. If heterozygous (Tt), the offspring appear in a 1:1 ratio of dominant to recessive. Thus the test cross reveals the unknown genotype directly from the offspring ratio.

NEET FOCUS: Test cross with tt -> all dominant means TT; 1:1 ratio means Tt. (A back cross is a cross with either parent type.)",
Genetics,Back Cross,Distinguish between a test cross and a back cross.,"SHORT ANSWER: A back cross is a cross of F1 with either parent. A test cross is specifically a cross of F1 with the homozygous recessive parent (a special back cross used to find the genotype).

LONG ANSWER: Every test cross is a back cross, but not every back cross is a test cross. Crossing F1 with the dominant parent is a back cross but cannot reveal the genotype; crossing F1 with the recessive parent (test cross) reveals it through the 1:1 ratio.

NEET FOCUS: All test crosses are back crosses; the reverse is not true. Test cross uses the recessive parent only.",
Genetics,Incomplete Dominance,Explain incomplete dominance with an example.,"SHORT ANSWER: In incomplete dominance, the heterozygote shows an intermediate (blended) phenotype, e.g. in Mirabilis jalapa (4 o'clock plant), red (RR) x white (rr) gives pink (Rr) in F1.

LONG ANSWER: Neither allele is completely dominant, so the F1 hybrid is intermediate between the two parents. In snapdragon/4 o'clock plant, RR (red) x rr (white) gives Rr (pink). The F2 ratio is 1 red : 2 pink : 1 white - phenotypic ratio = genotypic ratio (1:2:1).

NEET FOCUS: Incomplete dominance -> F2 phenotypic ratio equals genotypic ratio 1:2:1 (not 3:1). The heterozygote is a new intermediate phenotype.",
