Topic,Sub-topic,Question,Explanation,Image
Evolution,Origin of Universe,State the Big Bang theory of the origin of the universe.,"SHORT ANSWER: The Big Bang theory proposes that the universe originated about 13.7 billion years ago from a single, extremely hot and dense point (singularity) that exploded and expanded, gradually cooling to form galaxies, stars and planets.

LONG ANSWER: The huge explosion caused space itself to expand; temperatures fell, allowing hydrogen and helium to form, then galaxies and stars. The Earth formed about 4.5 billion years ago. The theory is supported by the observed expansion of the universe and cosmic microwave background radiation.

NEET FOCUS: Big Bang ~13.7 billion years ago; Earth formed ~4.5 billion years ago. Universe is still expanding.",
Evolution,Origin of Life,Differentiate between abiogenesis and biogenesis.,"SHORT ANSWER: Abiogenesis (spontaneous generation) is the now-disproved idea that life arises from non-living matter. Biogenesis is the established principle that living organisms arise only from pre-existing living organisms.

LONG ANSWER: Early thinkers believed life arose spontaneously (e.g. maggots from rotting meat). Experiments by Redi, Spallanzani and finally Louis Pasteur (swan-necked flask) disproved this and established biogenesis. However, the very first life must have arisen from chemicals (chemical evolution) - a special, one-time abiogenesis under early-Earth conditions.

NEET FOCUS: Pasteur's swan-necked flask experiment disproved spontaneous generation and supported biogenesis. The first life still required chemical evolution.",
Evolution,Oparin-Haldane,State the Oparin-Haldane theory of chemical evolution.,"SHORT ANSWER: Oparin and Haldane independently proposed that the first life arose by chemical evolution: simple inorganic molecules in the primitive reducing atmosphere combined to form organic molecules, then complex molecules, and finally the first cells, using energy from lightning, UV and heat.

LONG ANSWER: The early atmosphere lacked free oxygen and contained CH4, NH3, H2 and water vapour. Energy sources drove the formation of simple organic compounds (amino acids, sugars) that accumulated in the oceans forming a 'primordial soup' or 'hot dilute soup'. These aggregated into coacervates/protobionts, eventually giving rise to the first living cells.

NEET FOCUS: Oparin-Haldane = chemical evolution in a reducing atmosphere; life arose from non-living organic molecules ('primordial soup'). Oxygen was ABSENT initially.",
Evolution,Miller-Urey,Describe the Miller-Urey experiment and its significance.,"SHORT ANSWER: Stanley Miller and Harold Urey (1953) recreated primitive-Earth conditions in a flask - a mixture of CH4, NH3, H2 and water vapour with electric sparks (simulating lightning) - and obtained amino acids and other organic molecules, supporting chemical evolution.

LONG ANSWER: They circulated the gas mixture past electric discharges for about a week. On analysis they found amino acids (like glycine and alanine), sugars and other organics formed abiotically. This provided experimental evidence that organic molecules - the building blocks of life - could form from simple gases under early-Earth conditions, supporting the Oparin-Haldane hypothesis.

NEET FOCUS: Miller-Urey produced amino acids from CH4 + NH3 + H2 + water vapour + electric sparks - experimental support for chemical evolution.",miller_urey.png
Evolution,Lamarckism,State the theory of inheritance of acquired characters (Lamarckism).,"SHORT ANSWER: Lamarck proposed that organisms evolve through 'use and disuse' of organs and the inheritance of characters acquired during an individual's lifetime. Example: the long neck of the giraffe from stretching to reach high foliage.

LONG ANSWER: According to Lamarck, organs used more become better developed and those unused degenerate, and these acquired modifications are passed to offspring, driving evolution over generations. The theory was disproved by Weismann's germplasm theory and the fact that somatic (acquired) changes are not inherited.

NEET FOCUS: Lamarckism = use & disuse + inheritance of acquired characters. Disproved by Weismann (cutting mice tails for generations did not shorten offspring tails).",
Evolution,Darwinism,State the main postulates of Darwin's theory of natural selection.,"SHORT ANSWER: (1) Organisms over-reproduce; (2) populations show variation; (3) there is a struggle for existence due to limited resources; (4) individuals with favourable variations survive and reproduce more (survival of the fittest / natural selection); (5) over generations this leads to new species.

LONG ANSWER: Darwin (and Wallace) argued that more offspring are produced than can survive, creating competition. Heritable variations that confer an advantage allow some individuals to survive and reproduce better, so favourable traits accumulate over generations - natural selection. Given enough time this produces adaptation and new species. Published in 'On the Origin of Species' (1859).

NEET FOCUS: Darwinism keywords - overproduction, variation, struggle for existence, survival of the fittest, natural selection. Darwin and Wallace proposed it jointly.",
Evolution,Darwin Finches,How do Darwin's finches illustrate evolution?,"SHORT ANSWER: Darwin's finches of the Galapagos Islands evolved from a common ancestral seed-eating finch into many species with different beak shapes suited to different diets - an example of adaptive radiation by natural selection.

LONG ANSWER: From one original mainland species, finches diversified on different islands; their beaks adapted to available food (seeds, insects, cactus). This divergence from a common ancestor into many forms occupying different niches is adaptive radiation. It provided Darwin with key evidence for evolution by natural selection.

NEET FOCUS: Darwin's finches = adaptive radiation (divergent evolution) from a common ancestor on the Galapagos Islands.",
Evolution,Natural vs Artificial Selection,Distinguish between natural selection and artificial selection.,"SHORT ANSWER: Natural selection is the differential survival and reproduction of organisms with favourable traits in nature. Artificial selection is the deliberate selection and breeding of organisms by humans for desired traits.

LONG ANSWER: In natural selection, the environment 'selects' the better-adapted variants over many generations without human intervention. In artificial selection (selective breeding), humans choose which individuals breed - producing crop varieties, livestock breeds and pets in a relatively short time. Darwin used artificial selection of pigeons to argue for natural selection.

NEET FOCUS: Artificial selection (humans choose) is fast and directed; natural selection (environment chooses) is slow and undirected. Both change allele frequencies.",
Evolution,Variation Importance,Why is variation important for evolution?,"SHORT ANSWER: Variation provides the raw material on which natural selection acts; without heritable variation there would be no differences for selection to favour, and evolution could not occur.

LONG ANSWER: Heritable variations (from mutation, recombination and gene flow) make individuals differ in fitness. Natural selection preserves advantageous variants and eliminates disadvantageous ones, gradually changing the population. Greater variation increases a population's ability to adapt to changing environments.

NEET FOCUS: Variation is the raw material of evolution. Mutation and recombination generate it; natural selection sorts it.",
Evolution,Mutation Theory,State de Vries' mutation theory of evolution.,"SHORT ANSWER: Hugo de Vries proposed that evolution occurs by sudden, large, discontinuous heritable changes called mutations (saltation), rather than by Darwin's slow accumulation of minor variations. Based on his work on the evening primrose (Oenothera).

LONG ANSWER: De Vries observed large inheritable variations appearing suddenly in Oenothera lamarckiana and called them mutations. He argued that such single-step large changes (saltation) create new species directly, in contrast to Darwin's gradualism. Modern synthesis accepts mutation as the source of variation but views evolution as gradual.

NEET FOCUS: de Vries - mutation (saltation = single large step) drives evolution; studied Oenothera (evening primrose). Contrasts with Darwin's gradualism.",
