Topic,Sub-topic,Question,Explanation,Image
Electrochemistry,Redox Basics,Define oxidation and reduction in terms of electrons and oxidation number.,"SHORT ANSWER: Oxidation is loss of electrons (increase in oxidation number); reduction is gain of electrons (decrease in oxidation number). Remember 'OIL RIG' - Oxidation Is Loss, Reduction Is Gain.

LONG ANSWER: In a redox reaction one species is oxidised (loses electrons, oxidation number rises) and another is reduced (gains electrons, oxidation number falls). The two processes always occur together because the electrons lost by one species are gained by the other. Oxidation and reduction are complementary half-reactions.

NEET FOCUS: OIL RIG - Oxidation Is Loss, Reduction Is Gain (of electrons). Oxidation number increases on oxidation, decreases on reduction.",
Electrochemistry,Oxidant Reductant,Define oxidising agent (oxidant) and reducing agent (reductant).,"SHORT ANSWER: An oxidising agent accepts electrons (and is itself reduced); a reducing agent donates electrons (and is itself oxidised).

LONG ANSWER: The oxidant brings about oxidation of another species by taking its electrons, so the oxidant's own oxidation number decreases (it is reduced). The reductant brings about reduction of another species by giving electrons, so its own oxidation number increases (it is oxidised). Strong oxidants (e.g. F2, KMnO4) gain electrons readily; strong reductants (e.g. Li, Na) lose them readily.

NEET FOCUS: Oxidant = electron acceptor = gets reduced. Reductant = electron donor = gets oxidised. A common trap is mixing up which one is reduced.",
Electrochemistry,Oxidation Number,State the main rules for assigning oxidation numbers.,"SHORT ANSWER: Free elements = 0; monatomic ion = its charge; O usually -2 (peroxides -1); H usually +1 (metal hydrides -1); F always -1; sum of oxidation numbers = 0 for a neutral molecule, = charge for an ion.

LONG ANSWER: Oxidation number is the apparent charge an atom would have if bonding electrons were assigned to the more electronegative atom. Group 1 metals = +1, group 2 = +2. In a compound the algebraic sum equals the overall charge. These rules let us track electron transfer in redox reactions.

NEET FOCUS: Oxygen is -2 except in peroxides (-1), superoxides (-1/2), and OF2 (+2). Hydrogen is +1 except in metal hydrides (-1).",
Electrochemistry,Balancing Half Reaction,Outline the ion-electron (half-reaction) method of balancing a redox equation.,"SHORT ANSWER: Split into oxidation and reduction half-reactions; balance atoms other than O and H; balance O with H2O and H with H+ (in acidic medium); balance charge with electrons; equalise electrons and add the halves.

LONG ANSWER: (1) Write the two half-reactions. (2) Balance all atoms except O and H. (3) Add H2O to balance O and H+ to balance H (in acidic solution; in basic medium add OH- to both sides afterwards). (4) Add electrons to balance charge. (5) Multiply each half-reaction so electrons cancel, then add them and simplify.

NEET FOCUS: In acidic medium balance O with H2O then H with H+; in basic medium, neutralise H+ by adding equal OH- to both sides. Electrons lost = electrons gained.",
Electrochemistry,Balancing Example,Balance (acidic medium): MnO4^- + Fe^2+ -> Mn^2+ + Fe^3+.,"SHORT ANSWER: MnO4^- + 8H+ + 5Fe^2+ -> Mn^2+ + 4H2O + 5Fe^3+.

LONG ANSWER: Reduction half: MnO4^- + 8H+ + 5e- -> Mn^2+ + 4H2O (Mn goes +7 to +2). Oxidation half: Fe^2+ -> Fe^3+ + e-. Multiply the iron half by 5 to balance the 5 electrons, then add: MnO4^- + 8H+ + 5Fe^2+ -> Mn^2+ + 4H2O + 5Fe^3+. Charge and atoms now balance.

NEET FOCUS: MnO4^- in acidic medium gains 5 electrons (Mn^7+ -> Mn^2+). This 1:5 ratio with Fe^2+ is a classic permanganate titration result.",
Electrochemistry,Disproportionation,What is a disproportionation reaction? Give an example.,"SHORT ANSWER: A disproportionation reaction is one in which the same element in a single oxidation state is simultaneously oxidised and reduced. Example: 2H2O2 -> 2H2O + O2; or 3Cl2 + 6OH- -> 5Cl- + ClO3- + 3H2O.

LONG ANSWER: Here one species acts as both oxidant and reductant. In H2O2 decomposition, oxygen (-1) goes partly to -2 (reduced, in water) and partly to 0 (oxidised, in O2). For disproportionation, the element must have at least three oxidation states with the intermediate one being involved.

NEET FOCUS: Disproportionation needs an intermediate oxidation state. Examples: H2O2, Cl2 in base, Cu+ (2Cu+ -> Cu + Cu^2+), P4 in base.",
Electrochemistry,Electrochemical Cell,What is an electrochemical (galvanic/voltaic) cell?,"SHORT ANSWER: A galvanic cell is a device that converts chemical energy of a spontaneous redox reaction into electrical energy. Example: the Daniell cell (Zn-Cu).

LONG ANSWER: It consists of two half-cells, each an electrode dipped in an electrolyte, connected by an external wire and a salt bridge. A spontaneous redox reaction drives electrons through the external circuit, producing current. The anode is where oxidation occurs and the cathode where reduction occurs.

NEET FOCUS: Galvanic cell - chemical to electrical energy (spontaneous, E_cell positive). Electrolytic cell - electrical to chemical energy (non-spontaneous).",
Electrochemistry,Daniell Cell,Describe the construction and working of the Daniell cell.,"SHORT ANSWER: The Daniell cell has a zinc electrode in ZnSO4 solution (anode) and a copper electrode in CuSO4 solution (cathode), joined by a salt bridge. Zn is oxidised (Zn -> Zn^2+ + 2e-) and Cu^2+ is reduced (Cu^2+ + 2e- -> Cu); standard EMF = 1.1 V.

LONG ANSWER: Electrons flow from the zinc anode through the external wire to the copper cathode. At the anode zinc dissolves; at the cathode copper is deposited. The salt bridge maintains electrical neutrality by allowing ion flow. Net reaction: Zn + Cu^2+ -> Zn^2+ + Cu. The cell notation is Zn | Zn^2+ || Cu^2+ | Cu.

NEET FOCUS: Daniell cell EMF = 1.1 V. Anode (Zn) = negative terminal (oxidation); cathode (Cu) = positive terminal (reduction). Electrons flow Zn -> Cu externally.",daniell_cell.png
Electrochemistry,Anode Cathode,"In a galvanic cell, identify the anode and cathode and their signs.","SHORT ANSWER: Anode = electrode where oxidation occurs = negative terminal. Cathode = electrode where reduction occurs = positive terminal. Electrons flow from anode to cathode in the external circuit.

LONG ANSWER: In a galvanic (spontaneous) cell, the anode releases electrons (oxidation) and is the negative pole; the cathode consumes electrons (reduction) and is the positive pole. Conventional current flows from cathode to anode externally (opposite to electrons). In an electrolytic cell the signs are reversed.

NEET FOCUS: Galvanic cell - anode negative, cathode positive. Electrolytic cell - anode positive, cathode negative. Oxidation is ALWAYS at the anode.",
Electrochemistry,Salt Bridge,What is a salt bridge and what are its functions?,"SHORT ANSWER: A salt bridge is a U-tube filled with an inert electrolyte (e.g. KCl, KNO3) in a gel (agar-agar) connecting the two half-cells. It completes the circuit and maintains electrical neutrality of the solutions.

LONG ANSWER: Functions: (1) it completes the internal circuit allowing ion flow between half-cells; (2) it maintains electrical neutrality by supplying ions as cations accumulate at the cathode and anions at the anode; (3) it prevents liquid junction potential and prevents direct mixing of the two solutions. The electrolyte ions should have nearly equal mobility (KCl ideal).

NEET FOCUS: Salt bridge - completes circuit + maintains neutrality + minimises liquid junction potential. KCl is used because K+ and Cl- have nearly equal ionic mobilities.",salt_bridge.png
Electrochemistry,Electrode Potential,Define electrode potential.,"SHORT ANSWER: Electrode potential is the tendency of an electrode to lose or gain electrons (i.e. to get oxidised or reduced) when in contact with its ion solution. It arises from the potential difference at the electrode-solution interface.

LONG ANSWER: When a metal is dipped in a solution of its ions, an equilibrium is set up (M <=> M^n+ + ne-), producing a potential difference at the interface. The tendency to undergo reduction is the reduction potential; to undergo oxidation, the oxidation potential. By IUPAC convention, electrode potentials are reported as reduction potentials.

NEET FOCUS: By convention, 'electrode potential' means REDUCTION potential. Oxidation potential = - (reduction potential).",
Electrochemistry,Standard Electrode Potential,Define standard electrode potential.,"SHORT ANSWER: Standard electrode potential (E degree) is the electrode potential measured under standard conditions - 1 M ion concentration (unit activity), 1 bar pressure for gases, and 298 K - relative to the standard hydrogen electrode (taken as 0 V).

LONG ANSWER: It is the reduction potential of a half-cell when all species are in their standard states, measured against the SHE whose potential is defined as exactly zero. A more positive E degree means a stronger tendency to be reduced (stronger oxidising agent). Values are tabulated as the electrochemical series.

NEET FOCUS: Standard conditions = 1 M, 1 bar, 298 K. SHE is the reference (E degree = 0.00 V). More positive E degree -> stronger oxidant.",
Electrochemistry,SHE,Describe the standard hydrogen electrode (SHE).,"SHORT ANSWER: The SHE consists of a platinised platinum electrode in 1 M H+ solution with pure H2 gas bubbled at 1 bar pressure and 298 K. Its standard electrode potential is taken as exactly 0.00 V (the reference electrode).

LONG ANSWER: Half-reaction: 2H+ (1 M) + 2e- <=> H2 (1 bar), assigned E degree = 0. The platinum is coated with platinum black to adsorb H2 and catalyse the equilibrium. All other standard electrode potentials are measured relative to the SHE - it acts as anode or cathode depending on the other electrode.

NEET FOCUS: SHE = reference electrode, E degree = 0.00 V. Conditions: 1 M H+, 1 bar H2, 298 K, platinised Pt. Used to assign all other electrode potentials.",she.png
Electrochemistry,Cell Potential,Define cell potential (EMF) and give the formula in terms of electrode potentials.,"SHORT ANSWER: Cell potential (EMF) is the potential difference between the two electrodes when no current flows. E degree_cell = E degree_cathode - E degree_anode (both as reduction potentials).

LONG ANSWER: The EMF is the driving force that pushes electrons through the external circuit. Using standard reduction potentials, E degree_cell = E degree_cathode - E degree_anode. A positive E degree_cell indicates a spontaneous (galvanic) reaction; a negative value indicates a non-spontaneous reaction that requires an external source (electrolytic).

NEET FOCUS: E degree_cell = E degree_cathode - E degree_anode (reduction potentials). Positive E_cell -> spontaneous. For Daniell cell = 0.34 - (-0.76) = 1.10 V.",
Electrochemistry,Cell Notation,State the IUPAC conventions for representing a galvanic cell.,"SHORT ANSWER: The anode (oxidation) is written on the left and the cathode (reduction) on the right; a single vertical line is a phase boundary and a double vertical line is the salt bridge. Example: Zn | Zn^2+ (1M) || Cu^2+ (1M) | Cu.

LONG ANSWER: Reading left to right: anode metal | anode ion solution || cathode ion solution | cathode metal. The single line marks an electrode-electrolyte interface; the double line marks the salt bridge. Concentrations are written in brackets. The EMF is positive when the cell as written is spontaneous.

NEET FOCUS: Left = anode (oxidation), right = cathode (reduction). || = salt bridge, | = phase boundary. E_cell = E_right - E_left.",
Electrochemistry,Electrochemical Series,What is the electrochemical series and what does it tell us?,"SHORT ANSWER: The electrochemical series is the arrangement of elements/electrodes in order of their standard reduction potentials. It indicates relative oxidising/reducing strengths and the feasibility of redox reactions.

LONG ANSWER: Species with high positive E degree (e.g. F2, Au) are strong oxidising agents (easily reduced); those with low/negative E degree (e.g. Li, K, Na) are strong reducing agents (easily oxidised). The series predicts displacement reactions (a metal displaces ions of a metal below it), reactivity, and which metal acts as anode/cathode.

NEET FOCUS: Higher (more positive) E degree -> stronger oxidant. Li has the most negative E degree (strongest reducing agent in solution); F2 the most positive (strongest oxidant).",
Electrochemistry,Reactivity Prediction,"Using standard potentials, will zinc displace copper from CuSO4 solution? Explain.","SHORT ANSWER: Yes. Zn (E degree = -0.76 V) is a stronger reducing agent than Cu (E degree = +0.34 V), so zinc is oxidised and copper ions are reduced: Zn + Cu^2+ -> Zn^2+ + Cu. E degree_cell = +1.10 V (positive = spontaneous).

LONG ANSWER: A metal can displace the ions of another metal lying below it in the electrochemical series. Since zinc has a more negative reduction potential, it loses electrons more readily than copper, reducing Cu^2+ to Cu metal while itself dissolving as Zn^2+. The positive cell potential confirms the reaction is feasible.

NEET FOCUS: A metal displaces ions of any metal with a higher (more positive) reduction potential. Zn displaces Cu; Cu cannot displace Zn.",
